Database,DOI,Article Title,Abstract (truncated),BibTeX Key
OpenAlex,https://doi.org/10.3390/su151411221,"Role of Digital Transformation for Achieving Sustainability: Mediated Role of Stakeholders, Key Capabilities, and Technology",Sustainability through digital transformation is e...,MartnezPelez2023
OpenAlex,https://doi.org/10.3390/su152015088,Predictive Analytics and Machine Learning for Real-Time Supply Chain Risk Mitigation and Agility,Supply chain agility has become a key success fact...,Aljohani2023
Semantic Scholar,https://doi.org/10.3390/su151612668,Pursuing Long-Term Business Performance: Investigating the Effects of Financial and Technological Factors on Digital Adoption to Leverage SME Performance and Business Sustainability—Evidence from Indonesian SMEs in the Traditional Market,The traditional market holds a pivotal role in Ind...,Kurniasari2023
Semantic Scholar,https://doi.org/10.1108/ajim-11-2022-0482,Extending UTAUT with competitive pressure for SMEs digitalization adoption in two European nations: a multi-group analysis,"PurposeIn this article, the authors draw-upon an e...",Kwarteng2023
Semantic Scholar,https://doi.org/10.3390/info14110606,Small and Medium-Sized Enterprises in the Digital Age: Understanding Characteristics and Essential Demands,The article explores the implementation of digital...,Hojnik2023
Semantic Scholar,https://doi.org/10.1108/bfj-12-2022-1103,Exploring the role of digitalization as a driver for the adoption of circular economy principles in agrifood SMEs – an interpretive case study,PurposeThis research aims to investigate the role ...,Farace2023
Semantic Scholar,https://doi.org/10.26668/businessreview/2023.v8i12.4097,Investigating Digital Financial Literacy and its Impact on SMEs’ Performance: Evidence From Indonesia,Purpose: This study aims to measure the impact of ...,Kusumawardhani2023
Semantic Scholar,https://doi.org/10.51594/estj.v4i6.680,COMPARATIVE REVIEW OF TECHNOLOGY INTEGRATION IN SMES: A TALE OF TWO ECONOMIES - THE UNITED STATES AND NIGERIA,"In the rapidly evolving digital landscape, Small a...",Ewuga2023
Semantic Scholar,https://doi.org/10.18415/ijmmu.v10i5.4606,"Digital Adaptation to Performance of SMEs in Surakarta City, Indonesia","Micro, Small, and Medium Enterprises (MSMEs) exper...",Wulandari2023
Crossref,https://doi.org/10.1186/s41239-023-00392-8,Artificial intelligence in higher education: the state of the field,AbstractThis systematic review provides unique fin...,Crompton2023
Crossref,https://doi.org/10.1093/nar/gkad751,TTD: Therapeutic Target Database describing target druggability information,Abstract Target discovery is one of the essential ...,Zhou2023
Crossref,https://doi.org/10.1038/s41746-023-00899-4,Barriers and facilitators to utilizing digital health technologies by healthcare professionals,AbstractDigital technologies change the healthcare...,Nascimento2023
